;Experiment #1;;;;Experiment #2;;;;Experiment #3;;;;Experiment #4;;;;Experiment #5;;;;Experiment #6;;;;Experiment #7;Ne pas utiliser, déjà perfusé par NH4Cl à t = 0;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Time (s);pH Value 1;;;Time (s);pH Value 2;;;Time (s);pH Value 3;;;Time (s);pH Value 4;;;Time (s);pH Value (5);;;Time (s);pH Value 6;;;Time (s);pH Value (7);;;;;
;68,78;7,733923217;;;1313,93;7,638666247;;;201,34;7,71680377;;;225,38;7,673871897;;;89,93;7,78308704;;;1335;7,840101003;;;591,73;7,53000426;;;;;
;69,78;7,725981977;;;1373,93;7,666915081;;;206,34;7,70521534;;;235,38;7,675582967;;;90,93;7,788651154;;;1365;7,844336802;;;621,73;7,519708778;;;;;
;70,78;7,71358118;;;1433,93;7,600127353;;;211,34;7,712564036;;;245,38;7,678408302;;;91,93;7,806840496;;;1395;7,819600948;;;651,73;7,530047775;;;;;
;71,78;7,702798888;;;1493,93;7,60258562;;;216,34;7,705980289;;;275,38;7,761631854;;;92,93;7,81480665;;;1425;7,807316982;;;681,73;7,525987458;;;;;
;72,78;7,69935554;;;1553,93;7,559692187;;;221,34;7,692665457;;;305,38;7,773458723;;;93,93;7,822259281;;;1455;7,784538871;;;711,73;7,520239681;;;;;
;73,78;7,69755028;;;1613,93;7,587113805;;;226,34;7,70868922;;;335,38;7,745646597;;;94,93;7,830228845;;;1485;7,790004305;;;741,73;7,490354398;;;;;
;74,78;7,699793705;;;1673,93;7,571466609;;;231,34;7,688417529;;;365,38;7,752302706;;;95,93;7,801256286;;;1515;7,75496455;;;771,73;7,49311697;;;;;
;75,78;7,691106314;;;1733,93;7,584469631;;;236,34;7,694186921;;;395,38;7,752302706;;;96,93;7,853456856;;;1545;7,771638716;;;801,73;7,501272366;;;;;
;76,78;7,685410619;;;1793,93;7,559969075;;;241,34;7,687385057;;;425,38;7,728714154;;;97,93;7,841003299;;;1575;7,809235012;;;831,73;7,495981213;;;;;
;77,78;7,686150262;;;1853,93;7,575376081;;;246,34;7,674327541;;;455,38;7,741078881;;;98,93;7,845171361;;;1605;7,743965931;;;861,73;7,494869342;;;;;
;78,78;7,680681074;;;1913,93;7,534739795;;;251,34;7,69023375;;;485,38;7,717021358;;;99,93;7,859074969;;;1635;7,758041005;;;891,73;7,491951564;;;;;
;79,78;7,671202378;;;1973,93;7,488934444;;;256,34;7,705492727;;;515,38;7,71092155;;;100,93;7,895210911;;;1665;7,72543177;;;921,73;7,483558479;;;;;
;80,78;7,666849967;;;2033,93;7,438823446;;;276,34;7,689088213;;;545,38;7,712768898;;;101,93;7,900574456;;;1695;7,723532654;;;951,73;7,488327;;;;;
;81,78;7,659272102;;;2093,93;7,412139815;;;296,34;7,687635994;;;575,38;7,713942142;;;102,93;7,901306019;;;1725;7,714901642;;;981,73;7,464080161;;;;;
;82,78;7,657548615;;;2153,93;7,409125025;;;316,34;7,66843803;;;605,38;7,703860509;;;103,93;7,947752481;;;1755;7,688644145;;;1011,73;7,481403225;;;;;
;83,78;7,656350224;;;2213,93;7,406780747;;;336,34;7,657535623;;;635,38;7,702324202;;;104,93;7,968102151;;;1785;7,679219804;;;1041,73;7,489119796;;;;;
;84,78;7,641759184;;;2273,93;7,40284892;;;356,34;7,64842461;;;665,38;7,678961001;;;105,93;8,023797929;;;1815;7,6656114;;;1071,73;7,468411872;;;;;
;85,78;7,644852986;;;2333,93;7,383700005;;;376,34;7,632834159;;;695,38;7,677060939;;;106,93;8,054799255;;;1845;7,633296329;;;1101,73;7,474649857;;;;;
;86,78;7,639751297;;;2393,93;7,360065406;;;396,34;7,625653685;;;725,38;7,686102729;;;107,93;8,080451598;;;1875;7,641624562;;;1131,73;7,476156513;;;;;
;87,78;7,646040415;;;2453,93;7,332292711;;;456,34;7,592854156;;;755,38;7,672943036;;;108,93;8,089552801;;;1905;7,623131256;;;1161,73;7,476684159;;;;;
;88,78;7,639607667;;;2513,93;7,316187071;;;516,34;7,569992287;;;785,38;7,660055829;;;109,93;8,050582406;;;1935;7,610588222;;;1191,73;7,470285923;;;;;
;89,78;7,638809626;;;2573,93;7,292424072;;;576,34;7,558192408;;;815,38;7,664003305;;;110,93;8,027832155;;;1965;7,932070688;;;1221,73;7,478380008;;;;;
;90,78;7,640812975;;;2633,93;7,284612153;;;636,34;7,5365958;;;845,38;7,651518223;;;111,93;8,009519127;;;1995;7,504917068;;;1251,73;7,468091608;;;;;
;91,78;7,637892626;;;2693,93;7,264030528;;;696,34;7,539146134;;;875,38;7,646697794;;;112,93;8,053302005;;;2025;7,483626877;;;1281,73;7,483275568;;;;;
;92,78;7,645209154;;;2739,26;7,268492398;;;756,34;7,53516766;;;905,38;7,653273234;;;113,93;7,941758698;;;2055;7,473463708;;;1311,73;7,463143698;;;;;
;93,78;7,638524498;;;2740,26;7,268020223;;;816,34;7,520513335;;;935,38;7,667209385;;;118,93;8,202112769;;;2085;7,467209;;;1341,73;7,4791938;;;;;
;94,78;7,635975015;;;2741,26;7,269397858;;;876,34;7,524161454;;;965,38;7,658040993;;;123,93;8,171314549;;;2115;7,449933281;;;1371,73;7,061944105;;;;;
;95,78;7,631637008;;;2742,26;7,268984506;;;936,34;7,511542106;;;995,38;7,643687087;;;128,93;8,142045888;;;2145;7,441393265;;;1401,73;6,937795358;;;;;
;96,78;7,623486436;;;2743,26;7,272302627;;;996,34;7,514231622;;;1025,38;7,637321912;;;133,93;8,218133704;;;2175;7,419039863;;;1431,73;6,82022323;;;;;
;97,78;7,623011947;;;2744,26;7,270725274;;;1056,34;7,50247159;;;1055,38;7,647506415;;;138,93;8,367314683;;;2205;7,428752729;;;1461,73;6,713109362;;;;;
;98,78;7,630645142;;;2745,26;7,262577435;;;1116,34;7,499180602;;;1085,38;7,625999691;;;143,93;8,2474104;;;2235;7,416430374;;;1491,73;6,760315138;;;;;
;99,78;7,620606426;;;2746,26;7,268274621;;;1176,34;7,501016623;;;1115,38;7,632695876;;;148,93;8,171845631;;;2265;7,411771524;;;1521,73;6,772229643;;;;;
;100,78;7,617064472;;;2747,26;7,270534189;;;1236,34;7,491547841;;;1145,38;7,631374303;;;153,93;8,209587355;;;2295;7,407665088;;;1551,73;6,726921925;;;;;
